,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Lyz2,2.61206998183448e-135,-1.33210934930515,0.984,0.998,3.75720146187072e-131
Lyz1,3.69258916704511e-73,3.15407815144714,0.478,0.153,5.31142025787769e-69
Ifitm3,1.32678605617262e-45,1.41123960958639,0.762,0.559,1.90844906319869e-41
H2-D1,6.52012655576076e-42,0.41206882585358,0.989,0.995,9.37855003780627e-38
Ifi27l2a,1.51410625501929e-39,0.870297005804948,0.902,0.804,2.17789043721975e-35
Fcgr4,4.55188499541455e-39,1.46720669948254,0.52,0.26,6.54743137740429e-35
B2m,1.60336565071445e-37,0.400525927337696,0.989,0.993,2.30628115198767e-33
Trem2,3.00716176050299e-37,-0.796546659060534,0.587,0.817,4.3255014763075e-33
Phf11b,7.70337776207527e-34,1.33639595902771,0.444,0.206,1.10805385729691e-29
Fth1,1.58384187081366e-32,-0.357115184172538,0.997,0.999,2.27819814697837e-28
Irf1,1.42940293165213e-27,1.37530656620234,0.426,0.212,2.05605317688843e-23
Mpp7,1.7176180344222e-27,-0.745519128798745,0.635,0.813,2.47062178071289e-23
Lpl,2.64188632732937e-27,1.20970336814797,0.622,0.434,3.80008929323056e-23
Cst3,4.44058499611157e-27,-0.34066758403393,0.991,0.997,6.38733745840688e-23
Clec4b1,4.97453198797741e-24,0.93891407511697,0.615,0.43,7.1553668115067e-20
Hdac9,2.10844275723495e-23,0.947855606362895,0.518,0.31,3.03278406200675e-19
Tlr2,7.71083124856526e-23,-0.606565041502095,0.647,0.792,1.10912596679363e-18
Hspa8,3.14177447622386e-22,-0.256203537828688,0.985,0.996,4.5191284066004e-18
Txnrd1,6.43027765854993e-22,-0.736677275187313,0.733,0.8,9.24931138405821e-18
Clec4d,6.64338458144297e-22,-1.15681808107865,0.246,0.434,9.55584438194756e-18
Cd72,1.29745995005795e-21,0.809396692718744,0.759,0.634,1.86626639216336e-17
Srxn1,3.13190564571875e-21,-1.28104516597367,0.247,0.428,4.50493308080185e-17
Apoe,1.45429260219688e-20,-0.831013707148304,0.836,0.881,2.091854479e-16
Cfp,2.19981702578505e-20,1.22980355437163,0.515,0.361,3.16421680988921e-16
Slamf9,2.48417218833283e-20,0.548789586589818,0.856,0.753,3.57323327569794e-16
Sdc3,3.40750574712623e-20,0.745383661518588,0.624,0.459,4.90135626666637e-16
H2-K1,1.16480882734906e-19,0.388522137323225,0.984,0.986,1.67546101725888e-15
Cd14,1.29542665001797e-19,-0.438092791465456,0.981,0.988,1.86334169338585e-15
Actr3,1.61427629437262e-19,0.351245235252986,0.955,0.922,2.32197502182558e-15
Tap1,2.72646077357811e-18,1.06402524645385,0.356,0.192,3.92174117671476e-14
Cdk6,4.50337616298194e-18,0.675388569284629,0.67,0.502,6.47765627283323e-14
Pilra,8.22560458237948e-18,0.777109585021178,0.555,0.39,1.18317096312947e-13
Ckb,1.08426942893783e-17,0.568270683938869,0.819,0.696,1.55961314658418e-13
Skil,1.81662723930249e-17,-0.383976501668991,0.828,0.921,2.6130366210127e-13
Sqstm1,3.23328917335611e-17,-0.43514428261572,0.895,0.947,4.65076314695542e-13
Errfi1,5.85200388784887e-17,-0.870801248786676,0.494,0.638,8.41752239228181e-13
Vwf,5.92478166859929e-17,1.90431096567954,0.167,0.057,8.52220595211322e-13
Clec4a1,7.36893186325576e-17,0.686741489614158,0.618,0.464,1.05994715921071e-12
Ccl6,8.54737737904137e-17,0.762356104849392,0.749,0.631,1.22945476220131e-12
Arl4c,1.63704315011555e-16,-0.707272287820353,0.52,0.66,2.3547228671262e-12
Abca1,1.83126777627233e-16,-0.636576412516503,0.625,0.758,2.63409556939011e-12
Gm21188,2.23451643146781e-16,1.07068811797026,0.321,0.17,3.21412843502329e-12
Lcp1,3.29568866205142e-16,0.370659284038145,0.968,0.959,4.74051857149476e-12
Actb,7.44877812876941e-16,0.237655099080668,0.993,0.994,1.07143224604219e-11
Pilrb1,7.58782682889619e-16,1.54144944642103,0.164,0.057,1.09143301106843e-11
Mgl2,1.21802365496181e-15,1.04431674325717,0.757,0.714,1.75200522529707e-11
Coro2a,1.50238160557363e-15,1.146046240729,0.246,0.112,2.16102570145711e-11
Ifitm6,3.24372767556742e-15,2.65378173239688,0.092,0.017,4.66577788853617e-11
Cd300ld,3.83652282051044e-15,0.674885356406308,0.594,0.43,5.51845442502222e-11
Btg2,1.02189576096547e-14,0.393235855388305,0.941,0.91,1.46989486257273e-10
Rac2,1.12359693824309e-14,0.572292321213678,0.68,0.554,1.61618183596887e-10
Ptpn6,1.7135119020992e-14,0.579021893789632,0.602,0.455,2.46471551997949e-10
Naaa,1.7645024230872e-14,0.755469693210851,0.577,0.44,2.53806028536864e-10
Phf11a,1.89559617674579e-14,1.83530028248295,0.108,0.027,2.72662554063115e-10
Psmb9,2.65236827750255e-14,0.69709821630441,0.526,0.372,3.81516653035966e-10
Frmd4b,3.7121690092469e-14,0.513331056434204,0.754,0.63,5.33958390290075e-10
Ehd4,1.09056504141708e-13,0.510884845095267,0.773,0.677,1.56866875557433e-09
Gpx1,1.31846482189394e-13,0.323729539025448,0.974,0.957,1.89647979981224e-09
Arpc1b,1.49134818973514e-13,0.273416943667566,0.964,0.953,2.14515523611502e-09
Aoah,1.66705069148327e-13,0.821524277320317,0.503,0.362,2.39788571462953e-09
Ms4a7,4.51070588141505e-13,-0.352341078155038,0.778,0.879,6.4881993398274e-09
Ifitm2,5.17091734769988e-13,0.440569580219732,0.907,0.87,7.43784751293151e-09
Cd33,5.27514774515246e-13,-0.612095625078355,0.415,0.557,7.58777251662729e-09
Itgb5,6.86904696415596e-13,-0.516013154632713,0.539,0.674,9.88043715324193e-09
Egr2,7.11422262929341e-13,0.942286146726086,0.423,0.289,1.02330978299756e-08
Itga5,1.15964426554346e-12,-0.52364087059267,0.519,0.64,1.66803231155772e-08
Arpc2,1.17966891753496e-12,0.251397804922462,0.972,0.97,1.69683577098229e-08
Gda,1.68497220064829e-12,1.01815191029249,0.455,0.323,2.4236640134125e-08
Nlrp3,1.90311611743169e-12,-0.394696742641927,0.805,0.871,2.73744222331375e-08
Dynll1,2.0988434569683e-12,-0.394412805676056,0.799,0.853,3.01897642850321e-08
Olfml3,2.09898753462764e-12,-0.822937749562447,0.205,0.341,3.01918366980839e-08
Evi2a,2.60482154962679e-12,0.450698964871893,0.739,0.625,3.74677531698318e-08
Fgl2,4.88074881471887e-12,0.921746844027826,0.493,0.361,7.02046909509162e-08
Fcer1g,5.17431658784192e-12,0.1998393405081,0.988,0.994,7.44273697995182e-08
Vma21,6.05625259081803e-12,0.889045671864773,0.441,0.306,8.71131372663266e-08
Rsrp1,6.07781562043359e-12,0.599612893535692,0.441,0.294,8.74232998843168e-08
Cd86,6.28425817742226e-12,0.389174959888725,0.964,0.928,9.03927696240418e-08
Plbd1,7.47701075871007e-12,0.371627548904283,0.868,0.776,1.07549322753286e-07
Ly86,9.72202511739975e-12,0.307651014795324,0.931,0.922,1.39841609288678e-07
B4galt1,9.99452440687415e-12,-0.618663434621156,0.396,0.52,1.43761239068478e-07
Mitf,1.34385182963382e-11,-0.628997911262675,0.449,0.563,1.93299647174528e-07
Cd300c2,1.51191536523217e-11,-0.270205713170694,0.787,0.922,2.17473906134996e-07
Cd180,1.55396667320221e-11,0.738324952381233,0.468,0.32,2.23522566273407e-07
Myadm,1.78338155820365e-11,0.518568853544766,0.606,0.462,2.56521603332013e-07
Ccr5,2.133551803796e-11,0.594487260654542,0.527,0.387,3.06890091458017e-07
Ehd1,2.26792067505308e-11,-0.585252965848768,0.727,0.755,3.26217709899635e-07
Hepacam2,2.43103502787658e-11,-1.04230933681327,0.117,0.231,3.49680078409767e-07
mt-Cytb,2.5644615013254e-11,-0.203479374429723,0.993,0.998,3.68872142350645e-07
Tnfaip3,3.1519880733852e-11,-0.384816398333099,0.759,0.844,4.53381964475727e-07
Spn,3.96605507956358e-11,0.961204411843897,0.262,0.148,5.70477362644425e-07
Rtp4,4.12865965333056e-11,1.49400542668883,0.118,0.042,5.93866404535068e-07
Nfkbia,4.36005495461351e-11,-0.323114981735658,0.959,0.97,6.27150304671607e-07
Mmp13,4.92528533431774e-11,1.17034116615444,0.234,0.127,7.08453042488264e-07
Syne1,5.38223135585814e-11,0.586899705470981,0.443,0.301,7.74180158226635e-07
Pilrb2,6.65661502306947e-11,0.844041038622986,0.271,0.153,9.57487504918313e-07
Pparg,7.00760765600632e-11,0.850503007126265,0.391,0.258,1.00797428523995e-06
Psd3,7.34558758572417e-11,0.767105579206771,0.606,0.48,1.05658931833056e-06
Lair1,8.83697392804628e-11,0.507768450839443,0.609,0.485,1.27111032981018e-06
Rap1a,9.35948292467732e-11,0.336705245676163,0.886,0.835,1.34626802388559e-06
Stat1,1.1059822419383e-10,0.958580571356383,0.259,0.146,1.59084485680406e-06
Spi1,1.11035541151261e-10,0.321876387369167,0.878,0.819,1.59713522391974e-06
Ninj1,1.20535761930356e-10,-0.485043333361042,0.635,0.712,1.73378639960624e-06
Tnfaip2,1.20891367413874e-10,-0.689513347024131,0.357,0.489,1.73890142888117e-06
Stap1,1.44046711437761e-10,0.495706162811611,0.735,0.622,2.07196789732076e-06
Sept9,1.57712650303796e-10,0.86917466206402,0.234,0.124,2.2685387619698e-06
Capza2,1.59652168891295e-10,0.27848410589962,0.886,0.83,2.29643679733239e-06
Gas7,1.60208654558406e-10,0.498141808419029,0.671,0.545,2.30444128716811e-06
Gdi2,1.69487287551065e-10,-0.334797427172433,0.821,0.894,2.43790514413451e-06
Shtn1,1.75574978758741e-10,0.559889752682609,0.49,0.358,2.52547049446572e-06
Unc119,2.10168221340742e-10,0.922753433032008,0.222,0.119,3.02305969576523e-06
Cd9,2.4970411286485e-10,-0.321046452739163,0.802,0.894,3.591743959448e-06
Pde4b,3.1365752065438e-10,-0.351676803918307,0.814,0.868,4.5116497770926e-06
Parp9,3.3600693002875e-10,1.02516843504044,0.188,0.093,4.83312368153353e-06
Coro1a,3.87994092328065e-10,0.273486290747843,0.933,0.904,5.58090702404688e-06
Sh3bgrl,4.11748714464096e-10,0.360201417554159,0.794,0.717,5.92259350885156e-06
Lsp1,5.10811350499703e-10,0.40999160930313,0.74,0.648,7.34751046558773e-06
Zbp1,7.00767564394328e-10,1.24216310291253,0.153,0.07,1.0079840646248e-05
Id2,7.11197800562803e-10,-0.437484815195962,0.624,0.727,1.02298691632954e-05
Psme1,9.89746093065392e-10,0.405572543726518,0.788,0.713,1.42365078026526e-05
Mmp9,1.36561013850355e-09,2.31127168760433,0.104,0.038,1.96429362322351e-05
Igf1,1.45022859107818e-09,0.664991433222598,0.477,0.36,2.08600880540686e-05
Cxcl13,1.55361028308691e-09,-1.54110556960355,0.121,0.215,2.23471303119222e-05
Ifi213,2.1823137225054e-09,2.18832706493927,0.068,0.017,3.13904005845176e-05
Nlrc5,2.44209918124321e-09,1.13043447744438,0.185,0.097,3.51271546230023e-05
Pfn1,2.58120197044013e-09,0.214612222052978,0.971,0.976,3.71280091428109e-05
Rnf180,2.72837353179507e-09,-0.551430541578872,0.491,0.599,3.92449248813402e-05
Tpt1,3.01770214486801e-09,-0.115662960198748,0.994,0.998,4.34066276517815e-05
H2-M3,3.41608497647199e-09,0.612894347508537,0.47,0.342,4.91369663015731e-05
Il1a,3.56923777609989e-09,-0.701681301819895,0.314,0.432,5.13399161714208e-05
Gpr84,4.08693691098096e-09,-1.17494036889617,0.104,0.196,5.87865005275502e-05
Clic1,4.37454401418768e-09,0.207347669420559,0.953,0.939,6.29234411000756e-05
Asph,4.89653750749666e-09,0.490432520767624,0.57,0.449,7.0431795507832e-05
Cxcl9,5.238145188703e-09,2.81624561280463,0.118,0.051,7.5345480394304e-05
Rilpl2,5.34537457648754e-09,0.363386769463689,0.628,0.486,7.68878679081968e-05
Pmepa1,5.49471507056783e-09,-0.464718776127292,0.479,0.603,7.90359815750476e-05
Ifi206,6.43168530480829e-09,1.8752835380715,0.06,0.014,9.25133614243624e-05
Col14a1,6.91599069911876e-09,-0.423632324631601,0.482,0.601,9.94796102161243e-05
Metrnl,7.21206968688338e-09,0.460112080535324,0.765,0.681,0.00010373841037613
Ftl1,7.95557203247121e-09,-0.189599790100789,0.992,0.998,0.000114432948115066
Psmb8,8.46903754209826e-09,0.386571569431417,0.805,0.762,0.000121818636005541
Slc7a11,8.50312528746444e-09,-1.07709161476209,0.2,0.299,0.000122308954134888
Mbnl1,8.58699183506286e-09,0.340463536038812,0.837,0.76,0.000123515290555544
Timm10b,9.19440181539561e-09,0.40845070299057,0.523,0.398,0.00013225227571265
Ier3,9.97287884154775e-09,-0.567613274870021,0.695,0.757,0.000143449889256823
Tmem106a,1.17455664099762e-08,0.601346323775888,0.405,0.285,0.000168948227241098
Sec24a,1.18832086660708e-08,0.76168051444536,0.33,0.219,0.000170928073452762
H2-Q7,1.20778806568347e-08,0.570826829369101,0.517,0.411,0.00017372823536791
Il17ra,1.21558956087331e-08,-1.01315344282239,0.152,0.247,0.000174850402436017
Cd52,1.22989668983184e-08,0.209457350390971,0.977,0.975,0.000176908339865412
Asb2,1.24876627809889e-08,1.12599052095788,0.155,0.077,0.000179622541441744
Batf3,1.60335148511544e-08,0.559863354802547,0.404,0.285,0.000230626077619005
Dock4,1.71251525907557e-08,-0.528787717799561,0.474,0.581,0.00024632819486543
mt-Co2,1.76559191268487e-08,-0.125499415282059,0.997,0.997,0.000253962740720591
Ptpre,1.91872901137667e-08,0.448940852886904,0.521,0.396,0.00027598998099642
Xylt1,2.09709878283796e-08,-0.42375534242936,0.458,0.57,0.000301646688923412
Maff,2.12887625749135e-08,-0.472941278060613,0.547,0.627,0.000306217560877556
Hexb,2.27552859750002e-08,-0.241464823841948,0.856,0.926,0.000327312033464403
Psma4,2.41186702771316e-08,0.464158572803265,0.581,0.466,0.00034692295326626
Tln1,2.46743511556177e-08,0.295612405389672,0.775,0.698,0.000354915867022405
Ch25h,2.52002732797743e-08,1.16388679928999,0.166,0.087,0.000362480730856274
H2-T23,2.54239292340861e-08,0.39664749183797,0.737,0.654,0.000365697798103095
Acer3,2.78103313167135e-08,0.377696569034067,0.685,0.585,0.000400023805659607
Iqgap1,2.87512788870525e-08,0.248001787791768,0.962,0.931,0.000413558395511363
Sirpa,2.92797726342825e-08,0.301687641231418,0.839,0.782,0.000421160249571519
Vav3,3.202130982568e-08,0.51155860913741,0.628,0.512,0.000460594520532581
Snx2,3.62530812518154e-08,0.514159186891062,0.503,0.392,0.000521464320726113
Tnfrsf12a,4.26054500347945e-08,-0.662404117933016,0.259,0.359,0.000612836793300484
Cdkn1a,4.31910394317265e-08,-0.33357211546896,0.82,0.871,0.000621259911185955
Nxpe5,4.38848007241336e-08,1.60007347970778,0.08,0.028,0.000631238973615938
Tmtc2,4.9193292573653e-08,-0.764201534424615,0.249,0.35,0.000707596320379424
Dclre1c,5.21417328910178e-08,0.599181871850234,0.462,0.357,0.000750006685904399
Oas2,5.27080446752695e-08,1.87032247059067,0.077,0.026,0.000758152514609076
Tspo,5.44116533172104e-08,0.314471455124046,0.863,0.803,0.000782657221314754
Itgav,5.64541804326002e-08,-0.530322591177348,0.555,0.638,0.000812036931342521
Tgfbr1,5.97774253387008e-08,-0.354078234348973,0.658,0.764,0.000859838486071872
Lst1,6.22439964186822e-08,0.332266324984531,0.849,0.785,0.000895317644486324
Phf11d,6.27962973862471e-08,0.716038439619987,0.201,0.114,0.000903261941603779
Hsp90ab1,6.57312210686665e-08,-0.164304064615392,0.983,0.983,0.000945477883851698
Clec10a,7.2888068308271e-08,0.981379785452407,0.183,0.102,0.00104842197454617
Pdlim1,7.96203371210133e-08,0.548460585471975,0.398,0.281,0.00114525892914866
Atp2b1,8.03406456459029e-08,0.149081843379462,0.94,0.922,0.00115561984697067
Gpx4,8.26967943018796e-08,-0.312883084545959,0.708,0.765,0.00118951068923824
Epb41l2,8.38105018122017e-08,-0.328584137402326,0.794,0.829,0.00120553025806671
Gbp2,8.38578454437838e-08,1.41112200518051,0.146,0.075,0.00120621124886339
Pla2g7,8.52026763814677e-08,-0.598416781332671,0.503,0.57,0.00122555529707103
Procr,8.75954533549755e-08,-1.50504754140516,0.065,0.135,0.00125997300105797
9930111J21Rik2,9.34516973456995e-08,0.699785041427561,0.22,0.131,0.00134420921462054
Nes,9.70343088124987e-08,0.652263719003846,0.272,0.173,0.00139574149795898
Snx24,1.18390341197181e-07,0.492614734551588,0.522,0.413,0.00170292666778026
Wfdc17,1.30181943831212e-07,0.247191232349198,0.853,0.777,0.00187253708006815
Gm4951,1.34465635830993e-07,2.11207938660955,0.052,0.013,0.00193415370579301
Scimp,1.3456445084001e-07,0.504045487511243,0.463,0.348,0.0019355750608827
Nrros,1.39539329869497e-07,0.37884143185907,0.781,0.719,0.00200713372084285
Ccl12,1.57642126881995e-07,0.466915669273056,0.44,0.327,0.00226752435307062
Gm2a,1.59799115766684e-07,0.34578415165693,0.777,0.696,0.00229855048118799
Tep1,1.59991851245609e-07,0.434404535899597,0.448,0.333,0.00230132278831683
Rragc,1.61842655035942e-07,0.470241081179814,0.497,0.382,0.00232794475003699
Cd82,1.64637176802458e-07,-0.538311643051833,0.309,0.409,0.00236814115112656
Myl6,1.70637812669106e-07,0.169996369130597,0.974,0.975,0.00245445429743242
Inpp5b,1.73495015113106e-07,1.05275257583224,0.158,0.084,0.00249555229738692
Pxdc1,1.77457530051296e-07,-0.597017473004909,0.235,0.34,0.00255254911225784
Crip1,1.83854685062124e-07,0.263429002053076,0.954,0.946,0.00264456578993359
Sash1,1.85625335757172e-07,-0.566903948169631,0.362,0.448,0.00267003482953116
Lpar1,1.88531405106256e-07,0.9985260181202,0.088,0.034,0.00271183573104839
Stab1,1.89968704864903e-07,-0.597952109103592,0.224,0.32,0.00273250985077676
Ly6a,1.93398002279443e-07,2.42965670617573,0.07,0.024,0.00278183686478751
Rftn1,1.96668286883077e-07,-0.558023774368863,0.516,0.606,0.00282887663852618
C130026I21Rik,2.10029173508575e-07,0.97232547751514,0.2,0.118,0.00302105963174735
Gadd45g,2.14188015807874e-07,-0.590124089651074,0.346,0.45,0.00308088041938047
Pla2g4a,2.20497932126513e-07,0.777782964391409,0.257,0.164,0.00317164225570777
Arhgef3,2.21519984148346e-07,0.444530535424702,0.429,0.319,0.00318634345198981
Map4k3,2.35489120540105e-07,-0.636031778199239,0.304,0.403,0.00338727550984887
